usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
2157582,"Faiditus dracus (Chamberlin & Ivie, 1936)",Faiditus dracus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Faiditus,Faiditus dracus,1,54,367,1496,9583,2157551,2157582,FALSE,Arachnida,NA,Faiditus dracus,636
2157568,"Faiditus globosus (Keyserling, 1884)",Faiditus globosus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Faiditus,Faiditus globosus,1,54,367,1496,9583,2157551,2157568,FALSE,Arachnida,NA,Faiditus globosus,637
2157556,"Faiditus ululans (O.Pickard-Cambridge, 1880)",Faiditus ululans,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Faiditus,Faiditus ululans,1,54,367,1496,9583,2157551,2157556,FALSE,Arachnida,NA,Faiditus ululans,638
6718044,"Hentziectypus florendidus (Levi, 1959)",Hentziectypus florendidus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Hentziectypus,Hentziectypus florendidus,1,54,367,1496,9583,8223363,6718044,FALSE,Arachnida,NA,Hentziectypus florendidus,639
6718050,"Hentziectypus florens (O.Pickard-Cambridge, 1896)",Hentziectypus florens,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Hentziectypus,Hentziectypus florens,1,54,367,1496,9583,8223363,6718050,FALSE,Arachnida,NA,Hentziectypus florens,640
2157944,"Latrodectus geometricus C.L.Koch, 1841",Latrodectus geometricus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus geometricus,1,54,367,1496,9583,2157920,2157944,FALSE,Arachnida,NA,Latrodectus geometricus,641
9300163,"Meotipa pulcherrima (Mello-Leitão, 1917)",Meotipa pulcherrima,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Meotipa,Meotipa pulcherrima,1,54,367,1496,9583,7988543,9300163,FALSE,Arachnida,NA,Meotipa pulcherrima,642
7628105,"Neopisinus cognatus (O.Pickard-Cambridge, 1893)",Neopisinus cognatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Neopisinus,Neopisinus cognatus,1,54,367,1496,9583,7673149,7628105,FALSE,Arachnida,NA,Neopisinus cognatus,643
7372461,"Neopisinus putus (O.Pickard-Cambridge, 1894)",Neopisinus putus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Neopisinus,Neopisinus putus,1,54,367,1496,9583,7673149,7372461,FALSE,Arachnida,NA,Neopisinus putus,644
2157984,"Nesticodes rufipes (Lucas, 1846)",Nesticodes rufipes,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Nesticodes,Nesticodes rufipes,1,54,367,1496,9583,2157983,2157984,FALSE,Arachnida,NA,Nesticodes rufipes,645
9255718,"Nihonhimea tesselata (Keyserling, 1884)",Nihonhimea tesselata,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Nihonhimea,Nihonhimea tesselata,1,54,367,1496,9583,9280406,9255718,FALSE,Arachnida,NA,Nihonhimea tesselata,646
7979915,"Parasteatoda nigrovittata (Keyserling, 1884)",Parasteatoda nigrovittata,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Parasteatoda,Parasteatoda nigrovittata,1,54,367,1496,9583,2157401,7979915,FALSE,Arachnida,NA,Parasteatoda nigrovittata,647
2157795,"Paratheridula perniciosa (Keyserling, 1886)",Paratheridula perniciosa,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Paratheridula,Paratheridula perniciosa,1,54,367,1496,9583,2157794,2157795,FALSE,Arachnida,NA,Paratheridula perniciosa,648
2157499,"Phoroncidia triunfo Levi, 1964",Phoroncidia triunfo,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Phoroncidia,Phoroncidia triunfo,1,54,367,1496,9583,2157438,2157499,FALSE,Arachnida,NA,Phoroncidia triunfo,649
2156056,"Phycosoma altum (Keyserling, 1886)",Phycosoma altum,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Phycosoma,Phycosoma altum,1,54,367,1496,9583,2156050,2156056,FALSE,Arachnida,NA,Phycosoma altum,650
2156059,"Phycosoma lineatipes (Bryant, 1933)",Phycosoma lineatipes,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Phycosoma,Phycosoma lineatipes,1,54,367,1496,9583,2156050,2156059,FALSE,Arachnida,NA,Phycosoma lineatipes,651
2156549,"Rhomphaea paradoxa (Taczanowski, 1873)",Rhomphaea paradoxa,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Rhomphaea,Rhomphaea paradoxa,1,54,367,1496,9583,2156526,2156549,FALSE,Arachnida,NA,Rhomphaea paradoxa,652
2156546,"Rhomphaea procera (O.Pickard-Cambridge, 1898)",Rhomphaea procera,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Rhomphaea,Rhomphaea procera,1,54,367,1496,9583,2156526,2156546,FALSE,Arachnida,NA,Rhomphaea procera,653
2156543,"Rhomphaea projiciens O.Pickard-Cambridge, 1896",Rhomphaea projiciens,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Rhomphaea,Rhomphaea projiciens,1,54,367,1496,9583,2156526,2156543,FALSE,Arachnida,NA,Rhomphaea projiciens,654
2156525,"Spintharus flavidus Hentz, 1850",Spintharus flavidus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Spintharus,Spintharus flavidus,1,54,367,1496,9583,2156522,2156525,FALSE,Arachnida,NA,Spintharus flavidus,655
2157223,"Steatoda ancorata (Holmberg, 1876)",Steatoda ancorata,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Steatoda,Steatoda ancorata,1,54,367,1496,9583,2157199,2157223,FALSE,Arachnida,NA,Steatoda ancorata,656
2157216,"Steatoda moesta (O.Pickard-Cambridge, 1896)",Steatoda moesta,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Steatoda,Steatoda moesta,1,54,367,1496,9583,2157199,2157216,FALSE,Arachnida,NA,Steatoda moesta,657
2157300,"Steatoda quadrimaculata (O.Pickard-Cambridge, 1896)",Steatoda quadrimaculata,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Steatoda,Steatoda quadrimaculata,1,54,367,1496,9583,2157199,2157300,FALSE,Arachnida,NA,Steatoda quadrimaculata,658
2157775,"Stemmops bicolor O.Pickard-Cambridge, 1894",Stemmops bicolor,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Stemmops,Stemmops bicolor,1,54,367,1496,9583,2157758,2157775,FALSE,Arachnida,NA,Stemmops bicolor,659
2157761,"Stemmops questus Levi, 1955",Stemmops questus,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Stemmops,Stemmops questus,1,54,367,1496,9583,2157758,2157761,FALSE,Arachnida,NA,Stemmops questus,660
2157368,"Styposis clausis Levi, 1960",Styposis clausis,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Styposis,Styposis clausis,1,54,367,1496,9583,2157363,2157368,FALSE,Arachnida,NA,Styposis clausis,661
2157373,"Styposis flavescens Simon, 1894",Styposis flavescens,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Styposis,Styposis flavescens,1,54,367,1496,9583,2157363,2157373,FALSE,Arachnida,NA,Styposis flavescens,662
2156999,"Theridion adjacens (O.Pickard-Cambridge, 1896)",Theridion adjacens,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Theridion,Theridion adjacens,1,54,367,1496,9583,2156558,2156999,FALSE,Arachnida,NA,Theridion adjacens,663
2157112,"Theridion biolleyi Banks, 1909",Theridion biolleyi,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Theridion,Theridion biolleyi,1,54,367,1496,9583,2156558,2157112,FALSE,Arachnida,NA,Theridion biolleyi,664
2156976,"Theridion cocosense Strand, 1906",Theridion cocosense,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Theridiidae,Theridion,Theridion cocosense,1,54,367,1496,9583,2156558,2156976,FALSE,Arachnida,NA,Theridion cocosense,665
